symbol,direccion,resultado,entrada_ts,salida_ts,pnl_neto_cop
LTC/USDT,LARGO,SL,2025-04-07 00:00:00+00:00,2025-04-08 00:00:00+00:00,-15985
UNI/USDT,LARGO,SL,2025-04-07 00:00:00+00:00,2025-04-08 00:00:00+00:00,-15985
ARB/USDT,LARGO,SL,2025-04-07 00:00:00+00:00,2025-04-08 00:00:00+00:00,-15985
OP/USDT,LARGO,SL,2025-04-07 00:00:00+00:00,2025-04-08 00:00:00+00:00,-15985
ETC/USDT,LARGO,SL,2025-04-07 00:00:00+00:00,2025-04-08 00:00:00+00:00,-15985
BCH/USDT,CORTO,SL,2025-04-13 00:00:00+00:00,2025-04-14 00:00:00+00:00,-15492
SOL/USDT,CORTO,SL,2025-04-18 00:00:00+00:00,2025-04-19 00:00:00+00:00,-15492
SOL/USDT,CORTO,SL,2025-04-20 00:00:00+00:00,2025-04-21 00:00:00+00:00,-15493
LINK/USDT,CORTO,SL,2025-04-21 00:00:00+00:00,2025-04-22 00:00:00+00:00,-15492
LTC/USDT,CORTO,TP,2025-04-23 00:00:00+00:00,2025-04-24 00:00:00+00:00,14492
BCH/USDT,CORTO,TP,2025-04-23 00:00:00+00:00,2025-04-24 00:00:00+00:00,14492
ETC/USDT,CORTO,SL,2025-04-24 00:00:00+00:00,2025-04-25 00:00:00+00:00,-15492
DOGE/USDT,CORTO,SL,2025-04-25 00:00:00+00:00,2025-04-26 00:00:00+00:00,-15492
AVAX/USDT,CORTO,SL,2025-04-25 00:00:00+00:00,2025-04-26 00:00:00+00:00,-15492
LINK/USDT,CORTO,TP,2025-04-25 00:00:00+00:00,2025-04-27 00:00:00+00:00,14492
DOT/USDT,CORTO,TP,2025-04-25 00:00:00+00:00,2025-04-27 00:00:00+00:00,14492
SOL/USDT,CORTO,TP,2025-04-25 00:00:00+00:00,2025-04-27 00:00:00+00:00,14492
ETC/USDT,CORTO,SL,2025-04-26 00:00:00+00:00,2025-04-27 00:00:00+00:00,-15492
LTC/USDT,CORTO,SL,2025-04-27 00:00:00+00:00,2025-04-28 00:00:00+00:00,-15492
LTC/USDT,CORTO,TP,2025-04-29 00:00:00+00:00,2025-04-30 00:00:00+00:00,14492
BCH/USDT,CORTO,SL,2025-05-09 00:00:00+00:00,2025-05-10 00:00:00+00:00,-15492
LINK/USDT,CORTO,SL,2025-05-11 00:00:00+00:00,2025-05-12 00:00:00+00:00,-15493
AVAX/USDT,CORTO,SL,2025-05-11 00:00:00+00:00,2025-05-12 00:00:00+00:00,-15492
DOT/USDT,CORTO,SL,2025-05-11 00:00:00+00:00,2025-05-12 00:00:00+00:00,-15492
SOL/USDT,CORTO,SL,2025-05-11 00:00:00+00:00,2025-05-12 00:00:00+00:00,-15493
ETC/USDT,CORTO,SL,2025-05-11 00:00:00+00:00,2025-05-12 00:00:00+00:00,-15492
LTC/USDT,CORTO,TP,2025-05-13 00:00:00+00:00,2025-05-14 00:00:00+00:00,14492
XRP/USDT,CORTO,TP,2025-05-14 00:00:00+00:00,2025-05-15 00:00:00+00:00,14492
SOL/USDT,CORTO,TP,2025-05-14 00:00:00+00:00,2025-05-15 00:00:00+00:00,14492
XRP/USDT,CORTO,TP,2025-06-10 00:00:00+00:00,2025-06-12 00:00:00+00:00,14492
BCH/USDT,CORTO,SL,2025-06-17 00:00:00+00:00,2025-06-18 00:00:00+00:00,-15492
LINK/USDT,CORTO,TP,2025-06-30 00:00:00+00:00,2025-07-01 00:00:00+00:00,14492
SOL/USDT,CORTO,TP,2025-07-11 00:00:00+00:00,2025-07-12 00:00:00+00:00,14492
AVAX/USDT,CORTO,SL,2025-07-11 00:00:00+00:00,2025-07-13 00:00:00+00:00,-15492
XRP/USDT,CORTO,SL,2025-07-15 00:00:00+00:00,2025-07-16 00:00:00+00:00,-15492
XRP/USDT,CORTO,SL,2025-07-18 00:00:00+00:00,2025-07-20 00:00:00+00:00,-15492
DOGE/USDT,CORTO,TP,2025-07-21 00:00:00+00:00,2025-07-22 00:00:00+00:00,14492
LTC/USDT,CORTO,SL,2025-07-21 00:00:00+00:00,2025-07-22 00:00:00+00:00,-15492
ARB/USDT,CORTO,TP,2025-07-22 00:00:00+00:00,2025-07-23 00:00:00+00:00,14492
OP/USDT,CORTO,TP,2025-07-22 00:00:00+00:00,2025-07-23 00:00:00+00:00,14492
UNI/USDT,CORTO,SL,2025-08-10 00:00:00+00:00,2025-08-11 00:00:00+00:00,-15492
ARB/USDT,CORTO,SL,2025-08-10 00:00:00+00:00,2025-08-11 00:00:00+00:00,-15492
BCH/USDT,CORTO,TP,2025-08-13 00:00:00+00:00,2025-08-14 00:00:00+00:00,14492
DOGE/USDT,CORTO,SL,2025-09-09 00:00:00+00:00,2025-09-10 00:00:00+00:00,-15492
AVAX/USDT,CORTO,TP,2025-09-11 00:00:00+00:00,2025-09-12 00:00:00+00:00,14492
UNI/USDT,CORTO,TP,2025-09-13 00:00:00+00:00,2025-09-14 00:00:00+00:00,14492
ARB/USDT,CORTO,TP,2025-09-13 00:00:00+00:00,2025-09-14 00:00:00+00:00,14492
SOL/USDT,CORTO,TP,2025-09-14 00:00:00+00:00,2025-09-15 00:00:00+00:00,14492
AVAX/USDT,CORTO,TP,2025-09-19 00:00:00+00:00,2025-09-21 00:00:00+00:00,14492
UNI/USDT,LARGO,TP,2025-09-26 00:00:00+00:00,2025-10-01 00:00:00+00:00,13985
LTC/USDT,CORTO,SL,2025-10-04 00:00:00+00:00,2025-10-05 00:00:00+00:00,-15492
XRP/USDT,LARGO,TP,2025-10-11 00:00:00+00:00,2025-10-12 00:00:00+00:00,13985
AVAX/USDT,LARGO,SL,2025-10-11 00:00:00+00:00,2025-10-12 00:00:00+00:00,-15985
DOT/USDT,LARGO,SL,2025-10-11 00:00:00+00:00,2025-10-12 00:00:00+00:00,-15985
UNI/USDT,LARGO,TP,2025-10-11 00:00:00+00:00,2025-10-12 00:00:00+00:00,13985
ARB/USDT,LARGO,TP,2025-10-11 00:00:00+00:00,2025-10-12 00:00:00+00:00,13985
OP/USDT,LARGO,TP,2025-10-18 00:00:00+00:00,2025-10-19 00:00:00+00:00,13985
LTC/USDT,CORTO,SL,2025-10-27 00:00:00+00:00,2025-10-28 00:00:00+00:00,-15492
XRP/USDT,CORTO,TP,2025-10-27 00:00:00+00:00,2025-10-29 00:00:00+00:00,14492
BCH/USDT,CORTO,SL,2025-10-29 00:00:00+00:00,2025-10-30 00:00:00+00:00,-15492
ADA/USDT,LARGO,TP,2025-11-23 00:00:00+00:00,2025-11-24 00:00:00+00:00,13985
AVAX/USDT,LARGO,TP,2025-11-23 00:00:00+00:00,2025-11-24 00:00:00+00:00,13985
ARB/USDT,LARGO,TP,2025-11-23 00:00:00+00:00,2025-11-24 00:00:00+00:00,13985
APT/USDT,LARGO,TP,2025-12-02 00:00:00+00:00,2025-12-03 00:00:00+00:00,13985
APT/USDT,LARGO,SL,2025-12-06 00:00:00+00:00,2025-12-07 00:00:00+00:00,-15985
APT/USDT,LARGO,SL,2025-12-08 00:00:00+00:00,2025-12-09 00:00:00+00:00,-15985
APT/USDT,LARGO,SL,2025-12-16 00:00:00+00:00,2025-12-17 00:00:00+00:00,-15985
